"netuid","name","rank","slice","stakers_score","stakers_evidence","miners_score","miners_evidence","buyers_score","buyers_evidence","newcomers_score","newcomers_evidence","composite","own_words","identity_check","artifacts","sources","searches_used","minutes_spent","last_verified","claim_labels","notes"
"120","Affine","4","d","","","","","","","","","","","","","","","","","",""
"44","Score","8","d","","","","","","","","","","","","","","","","","",""
"8","Vanta","12","d","","","","","","","","","","","","","","","","","",""
"68","NOVA","16","d","","","","","","","","","","","","","","","","","",""
"75","Hippius","20","d","","","","","","","","","","","","","","","","","",""
"118","Ditto","24","d","","","","","","","","","","","","","","","","","",""
"5","Hone","28","d","","","","","","","","","","","","","","","","","",""
"19","blockmachine","32","d","","","","","","","","","","","","","","","","","",""
