"netuid","name","rank","slice","stakers_score","stakers_evidence","miners_score","miners_evidence","buyers_score","buyers_evidence","newcomers_score","newcomers_evidence","composite","own_words","identity_check","artifacts","sources","searches_used","minutes_spent","last_verified","claim_labels","notes"
"107","Minos","1","a","","","","","","","","","","","","","","","","","",""
"64","Chutes","5","a","","","","","","","","","","","","","","","","","",""
"80","OpenRoboto","9","a","","","","","","","","","","","","","","","","","",""
"9","iota","13","a","","","","","","","","","","","","","","","","","",""
"28","SayGM","17","a","","","","","","","","","","","","","","","","","",""
"58","greevils","21","a","","","","","","","","","","","","","","","","","",""
"124","Swarm","25","a","","","","","","","","","","","","","","","","","",""
"90","KubeTEE","29","a","","","","","","","","","","","","","","","","","",""
